metascore,rotten_tomatoes_rating,meta_critic_rating,budget,metascore_missing,rotten_tomatoes_rating_missing,meta_critic_rating_missing,budget_missing,total_wins,total_noms,oscar_wins,oscar_noms,bafta_wins,bafta_noms,release_date,release_year,release_month,release_day,is_weekend,is_holiday_season,movie_age,production_country_name,spoken_languages,first_billing_actor,second_billing_actor,third_billing_actor,main_director,main_writer,secondary_writer,imdb_rating,imdb_votes,title,tmdb_vote_count,tmdb_vote_average,genre_names,runtime_in_min,tmdb_popularity,production_company_name,age_rating
42.0,17.0,42.0,30000000.0,0,0,0,0,0,0,0,0,0,0,2002-09-20,2002,9,20,1,0,23,"Germany,United States of America",English,Kevin Bacon,Charlize Theron,Courtney Love,Luis Mandoki,Greg Iles,Missing_data,6.1,26230.0,Trapped,571,6.163,"Action, Crime, Thriller, Drama",106.0,14.318,"Senator Film, Propaganda Films, Columbia Pictures",R
42.0,41.0,42.0,35000000.0,0,0,0,0,0,0,0,0,0,0,2013-01-23,2013,1,23,0,0,12,United States of America,English,Jason Statham,Jennifer Lopez,Michael Chiklis,Taylor Hackford,John J. McLaughlin,Donald E. Westlake,6.2,132073.0,Parker,3059,6.051,"Action, Crime",118.0,19.275,"Incentive Filmed Entertainment, Sierra/Affinity, Alexander/Mitchell Productions, Current Entertainment, Sidney Kimmel Entertainment, Anvil Films",R
90.0,88.0,90.0,4300000.0,0,0,0,0,86,104,0,0,86,1,2013-10-09,2013,10,9,0,0,12,"Others,France","French,English",Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,Abdellatif Kechiche,Abdellatif Kechiche,Ghalya Lacroix,7.7,167061.0,Blue Is the Warmest Color,4627,7.078,"Romance, Drama",180.0,31.124,"Wild Bunch, SCOPE Pictures, Quat'sous Films, France 2 Cinéma, RTBF, Alcatraz Films, Vértigo Films",NC-17
78.0,89.0,78.0,17500000.0,0,0,0,0,73,207,0,0,73,5,2024-09-07,2024,9,7,1,0,1,"France,United Kingdom,United States of America",English,Demi Moore,Margaret Qualley,Dennis Quaid,Coralie Fargeat,Coralie Fargeat,Missing_data,7.3,210331.0,The Substance,3849,7.1,"Horror, Science Fiction",141.0,489.668,"Working Title Films, Blacksmith, Working Title Films",R
77.0,85.0,77.0,10000000.0,0,0,0,0,2,14,0,0,0,0,2024-07-10,2024,7,10,0,1,1,"Canada,United States of America",English,Maika Monroe,Nicolas Cage,Blair Underwood,Osgood Perkins,Osgood Perkins,Missing_data,6.6,161715.0,Longlegs,1796,6.594,"Crime, Horror, Thriller",101.0,92.444,"C2 Motion Picture Group, Saturn Films, Oddfellows Entertainment, Traffic., Range Media Partners",R
10.350672097797604,20.0,10.41804933113692,9914279.413876805,1,0,1,1,0,0,0,0,0,0,2019-12-06,2019,12,6,1,1,6,"Others,United States of America","Spanish,English",Nicky Whelan,Bruce Willis,Tito Ortiz,Matt Eskandari,Paul Da Silva,Missing_data,4.0,12098.0,Trauma Center,384,5.5,"Action, Thriller",87.0,13.244,"Lionsgate, Grindstone Entertainment Group, EFO Films, BondIt Media Capital, Pimienta",R
69.0,70.0,69.0,18578062.6659928,0,0,0,1,0,4,0,0,0,0,2013-12-29,2013,12,29,1,1,12,United States of America,English,Emma Roberts,James Franco,Jack Kilmer,Gia Coppola,Gia Coppola,James Franco,6.2,31946.0,Palo Alto,867,6.1,Drama,100.0,13.243,"Rabbit Bandini Productions, Tribeca Film",R
19.0,0.0,19.0,18000000.0,0,0,0,0,0,0,0,0,0,0,2014-08-22,2014,8,22,1,0,11,"Others,United States of America",English,Jason Patric,Bruce Willis,John Cusack,Brian A. Miller,Andre Fabrizio,Jeremy Passmore,4.6,19394.0,The Prince,488,4.906,"Thriller, Action",93.0,15.557,"EFO Films, Aperture Entertainment, Grindstone Entertainment Group",R
60.0,83.0,60.0,6000.0,0,0,0,0,5,4,0,0,0,0,1999-05-06,1999,5,6,0,0,26,"United Kingdom,United States of America",English,Jeremy Theobald,Alex Haw,Lucy Russell,Christopher Nolan,Christopher Nolan,Missing_data,7.4,104768.0,Following,1618,7.1,"Drama, Thriller",69.0,9.654,"Next Wave Films, Syncopy",R
11.638139009749802,73.0,11.7504294834722,17700000.0,1,0,1,0,5,8,0,0,0,0,2019-12-19,2019,12,19,0,1,6,Others,Others,Lee Byung-hun,Ha Jung-woo,Jeon Hye-jin,Kim Byung-seo,Kim Byung-seo,Lee Hae-jun,6.2,6438.0,Ashfall,582,6.8,"Action, Adventure, Thriller",128.0,21.55,"Dexter Studios, CJ Entertainment, Perfect Storm Film, Dexter Pictures",TV-14
71.0,88.0,71.0,9900000.0,0,0,0,0,7,21,0,0,0,0,2016-06-08,2016,6,8,0,1,9,United States of America,English,Stephen Lang,Jane Levy,Dylan Minnette,Fede Alvarez,Fede Alvarez,Rodo Sayagues,7.1,314247.0,Don't Breathe,7492,7.014,"Horror, Thriller",89.0,29.694,"Screen Gems, Stage 6 Films, Ghost House Pictures",R
83.0,87.0,83.0,3000000.0,0,0,0,0,22,17,22,0,0,0,1967-12-21,1967,12,21,0,1,58,United States of America,English,Dustin Hoffman,Anne Bancroft,Katharine Ross,Mike Nichols,Calder Willingham,Buck Henry,8.0,293830.0,The Graduate,3376,7.637,"Drama, Romance, Comedy",106.0,24.83,"AVCO Embassy Pictures, Mike Nichols Productions, Lawrence Turman Productions",PG
55.0,39.0,55.0,25000000.0,0,0,0,0,0,0,0,0,0,0,2011-02-08,2011,2,8,0,0,14,United States of America,English,Channing Tatum,Jamie Bell,Donald Sutherland,Kevin Macdonald,Jeremy Brock,Rosemary Sutcliff,6.2,75393.0,The Eagle,1313,6.232,"Adventure, Drama",114.0,16.263,"Prime Focus, Toledo Productions, Focus Features, Twins Financing, Film4 Productions",PG-13
50.0,35.0,50.0,8000000.0,0,0,0,0,0,0,0,0,0,0,2011-04-29,2011,4,29,1,0,14,United States of America,English,Aimee Teegarden,Thomas McDonell,DeVaughn Nixon,Joe Nussbaum,Katie Wech,Missing_data,5.4,15827.0,Prom,453,6.1,"Comedy, Romance",104.0,7.882,"Walt Disney Pictures, Rickshaw Productions",PG
68.0,70.0,68.0,15271666.832316471,0,0,0,1,1,0,0,0,0,0,2006-03-29,2006,3,29,0,0,19,France,French,Gad Elmaleh,Alice Taglioni,Daniel Auteuil,Francis Veber,Francis Veber,Missing_data,6.6,11116.0,The Valet,518,5.978,Comedy,85.0,9.314,"Gaumont, EFVE, Kairos, TF1 Films Production",PG-13
54.0,71.0,54.0,80000000.0,0,0,0,0,0,9,0,0,0,0,2024-03-02,2024,3,2,1,0,1,United States of America,English,Jack Black,Awkwafina,Viola Davis,Mike Mitchell,Jonathan Aibel,Glenn Berger,6.3,63858.0,Kung Fu Panda 4,2967,7.1,"Animation, Family, Action, Comedy",94.0,175.521,DreamWorks Animation,PG
36.0,18.0,36.0,10000000.0,0,0,0,0,2,7,0,0,0,0,2007-10-25,2007,10,25,0,0,18,United States of America,English,Tobin Bell,Scott Patterson,Louis Ferreira,Darren Lynn Bousman,Patrick Melton,Marcus Dunstan,5.9,169372.0,Saw IV,3824,6.2,"Horror, Thriller, Crime",93.0,26.412,"Twisted Pictures, Lionsgate",R
77.0,81.0,77.0,6000000.0,0,0,0,0,9,24,0,0,0,0,2016-12-14,2016,12,14,0,1,9,"Others,France,Germany,United Kingdom","Others,English,French",Kristen Stewart,Lars Eidinger,Sigrid Bouaziz,Olivier Assayas,Olivier Assayas,Missing_data,6.1,44098.0,Personal Shopper,1234,5.916,"Drama, Mystery, Thriller",106.0,9.941,"CG Cinéma, Vortex Sutra, Sirena Film, ARTE France Cinéma, Detailfilm, WDR/Arte",R
17.0,5.0,17.0,30000000.0,0,0,0,0,0,3,0,0,0,0,2007-02-14,2007,2,14,0,0,18,United States of America,English,Al Pacino,Alicia Witt,Ben McKenzie,Jon Avnet,Gary Scott Thompson,Missing_data,5.9,79194.0,88 Minutes,1087,5.782,"Thriller, Mystery",108.0,11.066,"TriStar Pictures, Brightlight Pictures, Nu Image, Millenium Films, Family Room Entertainment, Equity Pictures Corporation, Randall Emmett/George Furla Productions, Equity Pictures Medienfonds GmbH & Co. KG III",R
61.0,79.0,61.0,60000000.0,0,0,0,0,15,37,15,4,0,0,1999-12-10,1999,12,10,1,1,26,United States of America,"French,English",Tom Hanks,Michael Clarke Duncan,David Morse,Frank Darabont,Stephen King,Frank Darabont,8.6,1455603.0,The Green Mile,17804,8.506,"Fantasy, Drama, Crime",189.0,159.259,"Castle Rock Entertainment, Darkwoods Productions",R
30.0,16.0,30.0,13000000.0,0,0,0,0,1,6,0,0,0,0,2000-12-15,2000,12,15,1,1,25,United States of America,"Others,French,English",Ashton Kutcher,Seann William Scott,Jennifer Garner,Danny Leiner,Philip Stark,Missing_data,5.5,148146.0,"Dude, Where's My Car?",1886,5.541,"Comedy, Romance, Science Fiction",83.0,20.745,"20th Century Fox, Wayne Rice/Gil Netter Productions, Alcon Entertainment",PG-13
77.0,81.0,77.0,5688157.282191552,0,0,0,1,1,5,1,1,0,0,1976-07-21,1976,7,21,0,1,49,United States of America,English,John Wayne,Lauren Bacall,Ron Howard,Don Siegel,Glendon Swarthout,Miles Hood Swarthout,7.6,27699.0,The Shootist,348,7.052,Western,100.0,14.806,"The De Laurentiis Company, Paramount Pictures",PG
74.0,89.0,74.0,500000.0,0,0,0,0,4,7,0,0,0,0,2004-08-20,2004,8,20,1,0,21,United States of America,English,Rory Culkin,Ryan Kelley,Scott Mechlowicz,Jacob Estes,Jacob Estes,Missing_data,7.1,33692.0,Mean Creek,364,6.834,"Crime, Drama",90.0,7.309,Whitewater Films,R
71.0,93.0,71.0,26000000.0,0,0,0,0,3,8,3,1,0,0,1996-10-04,1996,10,4,1,0,29,United States of America,English,Tom Hanks,Liv Tyler,Charlize Theron,Tom Hanks,Tom Hanks,Missing_data,7.0,75183.0,That Thing You Do!,843,6.865,"Comedy, Drama, Romance, Music",108.0,15.52,"Clinica Estetico, Clavius Base, 20th Century Fox",PG
60.0,84.0,60.0,13500000.0,0,0,0,0,0,5,0,0,0,0,2019-07-11,2019,7,11,0,1,6,"Canada,Others,United States of America",English,Kaya Scodelario,Barry Pepper,Morfydd Clark,Alexandre Aja,Michael Rasmussen,Shawn Rasmussen,6.1,97210.0,Crawl,3130,6.3,"Horror, Thriller, Action",87.0,27.784,"Raimi Productions, Fire Axe Pictures, Serbia Creates Film, Paramount Pictures",R
52.0,54.0,52.0,32129173.317454413,0,0,0,1,1,0,0,0,0,0,2014-10-23,2014,10,23,0,0,11,United States of America,English,Kate Beckinsale,Jim Sturgess,David Thewlis,Brad Anderson,Joe Gangemi,Edgar Allan Poe,6.8,61841.0,Stonehearst Asylum,1438,6.855,"Thriller, Mystery, Horror",112.0,22.812,"Icon Productions, Sobini Films",PG-13
42.0,31.0,42.0,50000000.0,0,0,0,0,1,4,0,0,0,0,2015-12-25,2015,12,25,1,1,10,United States of America,English,Will Ferrell,Mark Wahlberg,Linda Cardellini,Sean Anders,Brian Burns,Sean Anders,6.2,133456.0,Daddy's Home,3222,6.279,Comedy,96.0,26.359,"Paramount Pictures, Gary Sanchez Productions, Red Granite Pictures",PG-13
100.0,97.0,100.0,4000000.0,0,0,0,0,177,218,177,0,0,0,2014-06-05,2014,6,5,0,1,11,United States of America,"Spanish,English",Ellar Coltrane,Patricia Arquette,Ethan Hawke,Richard Linklater,Richard Linklater,Missing_data,7.9,373700.0,Boyhood,5197,7.5,Drama,166.0,17.812,"IFC Productions, Detour Filmproduction",R
92.0,92.0,92.0,220000.0,0,0,0,0,1,0,0,0,0,0,1965-05-05,1965,5,5,0,0,60,"France,Others",French,Eddie Constantine,Anna Karina,Akim Tamiroff,Jean-Luc Godard,Jean-Luc Godard,Paul Éluard,7.0,28608.0,Alphaville,550,7.0,"Drama, Science Fiction, Mystery",99.0,13.392,"Filmstudio, Athos Films, Chaumiane, André Michelin Productions",Not Rated
45.0,33.0,45.0,16140015.803407533,0,0,0,1,0,0,0,0,0,0,2009-02-06,2009,2,6,1,0,16,United States of America,English,Dan Fogler,Jay Baruchel,Kristen Bell,Kyle Newman,Ernest Cline,Adam F. Goldberg,6.5,61751.0,Fanboys,830,6.146,"Adventure, Comedy",90.0,12.284,"The Weinstein Company, Third Rail Releasing",PG-13
28.0,12.0,28.0,3500000.0,0,0,0,0,6,10,0,0,0,0,2018-02-02,2018,2,2,1,0,7,"Others,United States of America",English,Helen Mirren,Sarah Snook,Finn Scicluna-O'Prey,Michael Spierig,Tom Vaughan,Michael Spierig,5.5,37842.0,Winchester,1748,5.9,"Horror, Thriller",100.0,15.229,"Imagination Design Works, Blacklab Entertainment, Lionsgate, CBS Films, Screen Australia, Screen Queensland, Film Victoria, Eclipse Pictures",PG-13
73.0,87.0,73.0,16000000.0,0,0,0,0,1,11,0,0,0,0,2007-03-09,2007,3,9,1,0,18,United States of America,English,Joseph Gordon-Levitt,Jeff Daniels,Matthew Goode,Scott Frank,Scott Frank,Missing_data,6.9,61040.0,The Lookout,640,6.7,"Crime, Drama, Thriller",99.0,8.768,"Spyglass Entertainment, Miramax",R
65.0,89.0,65.0,50000.0,0,0,0,0,6,6,0,0,0,0,2013-09-19,2013,9,19,0,0,12,"United Kingdom,United States of America",English,Emily Baldoni,Maury Sterling,Nicholas Brendon,James Ward Byrkit,James Ward Byrkit,Alex Manugian,7.2,154835.0,Coherence,2971,7.2,"Thriller, Science Fiction",89.0,34.032,"Bellanova Films, Ugly Duckling Films",Not Rated
41.0,9.0,41.0,14000000.0,0,0,0,0,2,0,0,0,0,0,1988-05-19,1988,5,19,0,0,37,"Others,United States of America",English,Paul Hogan,Linda Kozlowski,John Meillon,John Cornell,Paul Hogan,Brett Hogan,5.7,62011.0,Crocodile Dundee II,1109,5.837,"Adventure, Comedy",110.0,15.626,Paramount Pictures,PG
57.0,58.0,57.0,5000000.0,0,0,0,0,1,2,1,1,0,0,1973-11-08,1973,11,8,0,1,52,United States of America,English,Brian Bedford,Phil Harris,Roger Miller,Wolfgang Reitherman,Larry Clemmons,Ken Anderson,7.5,142688.0,Robin Hood,4374,7.3,"Animation, Family, Adventure",83.0,27.853,Walt Disney Productions,G
52.0,66.0,52.0,5600000.0,0,0,0,0,5,3,0,0,0,0,2009-09-15,2009,9,15,0,0,16,Others,Spanish,Jonathan D. Mellor,Manuela Velasco,Óscar Zafra,Jaume Balagueró,Jaume Balagueró,Manu Díaz,6.5,80635.0,[REC]²,2007,6.6,"Thriller, Horror",84.0,18.632,"Filmax, Castelao Productions, Canal+ España, TVE, ICO",R
58.0,66.0,58.0,19116000.0,0,0,0,0,5,12,0,0,0,0,2018-05-19,2018,5,19,1,0,7,"Others,France,United Kingdom,United States of America","English,Spanish",José Luis Ferrer,Ismael Fritschi,Juan López-Tagle,Terry Gilliam,Terry Gilliam,Tony Grisoni,6.3,22682.0,The Man Who Killed Don Quixote,1015,6.753,"Adventure, Comedy",133.0,8.693,"Alacran Pictures, Tornasol Media, Kinology, Entre Chien et Loup, Ukbar Filmes, El hombre que mató a Don Quijote AIE, Carisco Producciones AIE, Recorded Picture Company",Not Rated
75.0,93.0,75.0,15000000.0,0,0,0,0,15,15,15,1,0,0,1985-03-01,1985,3,1,1,0,40,United States of America,English,Mia Farrow,Jeff Daniels,Danny Aiello,Woody Allen,Woody Allen,Missing_data,7.7,56453.0,The Purple Rose of Cairo,1056,7.4,"Fantasy, Comedy, Romance",82.0,12.441,Orion Pictures,PG
98.0,95.0,98.0,2883848.0,0,0,0,0,11,13,11,0,0,0,1959-03-19,1959,3,19,0,0,66,United States of America,English,Marilyn Monroe,Tony Curtis,Jack Lemmon,Billy Wilder,Billy Wilder,I.A.L. Diamond,8.2,290808.0,Some Like It Hot,3526,8.093,"Comedy, Romance, Crime",122.0,23.946,The Mirisch Company,Approved
18.0,9.0,18.0,30000000.0,0,0,0,0,0,2,0,0,0,0,1997-12-25,1997,12,25,0,1,28,United States of America,English,Leslie Nielsen,Kelly Lynch,Matt Keeslar,Stanley Tong,Pat Proft,Tom Sherohman,4.1,16356.0,Mr. Magoo,391,4.5,"Comedy, Family",87.0,9.319,Walt Disney Pictures,PG
56.0,58.0,56.0,23905710.654794935,0,0,0,1,1,10,0,0,0,0,1993-08-13,1993,8,13,1,0,32,United States of America,English,Robert Downey Jr.,Charles Grodin,Alfre Woodard,Ron Underwood,Gregory Hansen,Erik Hansen,7.0,19299.0,Heart and Souls,386,6.9,"Fantasy, Comedy, Romance",104.0,19.236,"Alphaville Films, Stampede Entertainment, Universal Pictures",PG-13
39.0,34.0,39.0,26000000.0,0,0,0,0,1,3,0,0,0,0,2009-01-15,2009,1,15,0,0,16,United States of America,English,Kevin James,Keir O'Donnell,Jayma Mays,Steve Carr,Kevin James,Nick Bakay,5.3,119810.0,Paul Blart: Mall Cop,2533,5.421,"Action, Adventure, Comedy, Family",91.0,20.043,"Hey Eddie, Columbia Pictures, Relativity Media, Sony Pictures, Happy Madison Productions",PG
11.003231347214015,59.68207418994915,11.094737231373266,9464481.465172678,1,1,1,1,0,0,0,0,0,0,2022-02-02,2022,2,2,0,0,3,"Others,France","French,Spanish",Philippe Lacheau,Julien Arruti,Tarek Boudali,Philippe Lacheau,Julien Arruti,Pierre Dudan,6.2,3830.0,Superwho?,500,6.359,"Comedy, Action, Family",82.0,12.098,"StudioCanal, Cinéfrance Studios, BAF Prod, TF1 Films Production, TF1 Studio, Panache Productions, La Compagnie Cinématographique, Canal+, Ciné+, TF1, TMC",R
64.0,71.0,64.0,31000000.0,0,0,0,0,0,5,0,0,0,0,1996-02-16,1996,2,16,1,0,29,"United Kingdom,United States of America",English,Tim Curry,Billy Connolly,Jennifer Saunders,Brian Henson,Robert Louis Stevenson,Jerry Juhl,6.9,27592.0,Muppet Treasure Island,405,6.653,"Comedy, Adventure, Family, Action, Music",100.0,10.323,"Walt Disney Pictures, Jim Henson Productions",G
10.83012807216386,48.44138503361042,10.74971714687966,10528308.58040292,1,1,1,1,0,0,0,0,0,0,2017-08-14,2017,8,14,0,0,8,Others,Italian,Alessandro Roja,Roberto Scotto Pagliara,Benedetta Cimatti,Daniele Misischia,Cristiano Ciccotti,Daniele Misischia,5.4,2205.0,The End?,382,6.145,Horror,100.0,7.278,"Mompracem, RAI Cinema, EuroVideo Medien GmbH, Makinarium, RAI",R
60.0,62.0,60.0,24000000.0,0,0,0,0,19,24,0,0,0,0,2011-10-24,2011,10,24,0,0,14,Others,"Others,English",Shah Rukh Khan,Arjun Rampal,Kareena Kapoor,Anubhav Sinha,David Benullo,Kanika Dhillon,4.8,47912.0,Ra.One,338,5.7,"Adventure, Action, Science Fiction",156.0,13.771,"Red Chillies Entertainment, Eros International, Prime Focus",Not Rated
60.0,77.0,60.0,10000000.0,0,0,0,0,0,0,0,0,0,0,2012-03-16,2012,3,16,1,0,13,United States of America,English,Jason Segel,Ed Helms,Judy Greer,Jay Duplass,Jay Duplass,Mark Duplass,6.4,65922.0,"Jeff, Who Lives at Home",633,6.215,"Drama, Comedy",83.0,7.09,"Indian Paintbrush, Paramount Vantage, Right of Way Films, Duplass Brothers Productions, Mr. Mudd",R
78.0,87.0,78.0,5000000.0,0,0,0,0,1,13,0,0,0,0,2017-06-09,2017,6,9,1,1,8,United States of America,English,Joel Edgerton,Christopher Abbott,Carmen Ejogo,Trey Edward Shults,Trey Edward Shults,Missing_data,6.1,106873.0,It Comes at Night,2388,5.851,"Drama, Horror, Mystery",91.0,17.916,"A24, Animal Kingdom",R
79.0,89.0,79.0,3600000.0,0,0,0,0,28,16,28,0,0,0,1969-05-25,1969,5,25,1,0,56,United States of America,"English,Italian",Dustin Hoffman,Jon Voight,Sylvia Miles,John Schlesinger,Waldo Salt,James Leo Herlihy,7.8,123498.0,Midnight Cowboy,1432,7.519,Drama,113.0,17.973,"Florin Productions, Jerome Hellman Productions, United Artists",R
64.0,66.0,64.0,20000000.0,0,0,0,0,28,75,0,0,0,0,2018-10-26,2018,10,26,1,0,7,"Others,United States of America","English,French,German",Chloë Grace Moretz,Tilda Swinton,Doris Hick,Luca Guadagnino,Dario Argento,Daria Nicolodi,6.7,97328.0,Suspiria,2551,6.908,"Horror, Mystery, Drama",152.0,20.298,"Frenesy Film, Videa, Mythology Entertainment, First Sun, MeMo Films, K Period Media",R
65.0,77.0,65.0,15000000.0,0,0,0,0,14,24,14,0,0,0,2010-08-26,2010,8,26,0,0,15,Others,"Others,English",Mikael Persbrandt,Trine Dyrholm,Markus Rygaard,Susanne Bier,Anders Thomas Jensen,Susanne Bier,7.6,42168.0,In a Better World,410,7.1,Drama,118.0,8.896,Zentropa Entertainments,R
10.68603807168728,43.0,10.73932570038008,12700000.0,1,0,1,0,1,2,0,0,0,0,1997-01-31,1997,1,31,1,0,28,Others,"Others,English",Jackie Chan,Richard Norton,Miki Lee,Sammo Kam-Bo Hung,Fibe Ma,Edward Tang,6.2,29598.0,Mr. Nice Guy,678,6.5,"Crime, Action, Comedy",95.0,18.835,"Orange Sky Golden Harvest, New Line Cinema",PG-13
63.0,62.0,63.0,55000000.0,0,0,0,0,14,55,14,3,0,0,2008-10-24,2008,10,24,1,0,17,United States of America,English,Angelina Jolie,Colm Feore,Amy Ryan,Clint Eastwood,J. Michael Straczynski,Missing_data,7.7,269373.0,Changeling,4190,7.592,"Crime, Drama, Mystery",141.0,14.388,"Universal Pictures, Imagine Entertainment, Relativity Media, Malpaso Productions",R
58.0,70.0,58.0,15000000.0,0,0,0,0,2,6,0,0,0,0,2008-08-07,2008,8,7,0,0,17,United States of America,English,Vinnie Jones,Bradley Cooper,Leslie Bibb,Ryûhei Kitamura,Jeff Buhler,Clive Barker,6.0,72599.0,The Midnight Meat Train,1135,6.1,"Horror, Mystery, Fantasy",98.0,20.698,"Lakeshore Entertainment, Lions Gate Films, Midnight Picture Show, GreeneStreet Films",R
53.0,55.0,53.0,5000000.0,0,0,0,0,1,8,0,0,0,0,2019-05-29,2019,5,29,0,0,6,"Others,United States of America","English,Others",Octavia Spencer,Diana Silvers,Juliette Lewis,Tate Taylor,Scotty Landes,Missing_data,5.6,61833.0,Ma,2242,5.817,"Horror, Thriller",99.0,18.301,"Blumhouse Productions, Wyolah Films, dentsu, Fuji Television Network",R
71.0,78.0,71.0,4500000.0,0,0,0,0,37,69,37,1,0,0,2000-10-06,2000,10,6,1,0,25,United States of America,English,Ellen Burstyn,Jared Leto,Jennifer Connelly,Darren Aronofsky,Hubert Selby Jr.,Darren Aronofsky,8.3,926885.0,Requiem for a Dream,10104,8.0,"Crime, Drama",102.0,20.736,"Artisan Entertainment, Thousand Words, Protozoa Pictures",NC-17
45.0,47.0,45.0,28000000.0,0,0,0,0,1,3,0,0,0,0,2016-02-04,2016,2,4,0,0,9,"United Kingdom,United States of America",English,Lily James,Sam Riley,Jack Huston,Burr Steers,Burr Steers,Jane Austen,5.8,61727.0,Pride and Prejudice and Zombies,2183,6.156,"Romance, Horror, Comedy, Thriller",108.0,21.97,"Handsomecharlie Films, Cross Creek Pictures, Panorama Media, QC Entertainment, MadRiver Pictures, Allison Shearmur Productions, Head Gear Films, PPZ Holdings, Sierra/Affinity, Screen Gems",PG-13
48.0,24.0,48.0,19000000.0,0,0,0,0,2,4,0,0,0,0,1991-01-13,1991,1,13,1,0,34,United States of America,English,Julia Roberts,Patrick Bergin,Kevin Anderson,Joseph Ruben,Nancy Price,Ron Bass,6.3,67552.0,Sleeping with the Enemy,1096,6.5,"Drama, Crime, Thriller",99.0,21.648,"20th Century Fox, Leonard Goldberg Productions",R
55.0,94.0,55.0,15000000.0,0,0,0,0,0,0,0,0,0,0,1983-07-29,1983,7,29,1,1,42,United States of America,English,Chevy Chase,Beverly D'Angelo,Imogene Coca,Harold Ramis,John Hughes,Missing_data,7.3,123255.0,National Lampoon's Vacation,1563,7.105,"Comedy, Adventure",99.0,31.172,Warner Bros. Pictures,R
63.0,70.0,63.0,115000000.0,0,0,0,0,8,23,8,1,0,0,1994-07-15,1994,7,15,1,1,31,United States of America,"English,French,Others,German",Arnold Schwarzenegger,Jamie Lee Curtis,Tom Arnold,James Cameron,James Cameron,Claude Zidi,7.3,289057.0,True Lies,4161,7.079,"Action, Thriller",140.0,25.582,"Lightstorm Entertainment, 20th Century Fox",R
15.0,5.0,15.0,10600000.0,0,0,0,0,2,3,0,0,0,0,2002-10-11,2002,10,11,1,0,23,"Others,United States of America",English,Anna Paquin,Lena Olin,Iain Glen,Jaume Balagueró,Jaume Balagueró,Fernando de Felipe,5.4,20616.0,Darkness,395,5.613,Horror,88.0,9.712,"Vía Digital, Filmax Entertainment, Dimension Films, Castelao Productions",PG-13
38.0,26.0,38.0,155000000.0,0,0,0,0,0,9,0,0,0,0,2015-06-23,2015,6,23,0,1,10,"Canada,United States of America",English,Arnold Schwarzenegger,Jason Clarke,Emilia Clarke,Alan Taylor,Laeta Kalogridis,Patrick Lussier,6.3,297967.0,Terminator Genisys,8470,5.936,"Science Fiction, Action, Thriller, Adventure",126.0,67.919,"Paramount Pictures, Skydance Media, Annapurna Pictures",PG-13
72.0,86.0,72.0,18000000.0,0,0,0,0,8,33,0,0,8,0,1997-09-27,1997,9,27,1,0,28,"France,United States of America",English,Kevin Kline,Joan Allen,Sigourney Weaver,Ang Lee,Rick Moody,James Schamus,7.3,61601.0,The Ice Storm,668,6.8,Drama,112.0,14.645,"Canal+ Droits Audiovisuels, Fox Searchlight Pictures, Good Machine",R
33.0,19.0,33.0,85000000.0,0,0,0,0,0,0,0,0,0,0,2002-02-06,2002,2,6,0,0,23,United States of America,"English,Spanish",Arnold Schwarzenegger,John Leguizamo,Francesca Neri,Andrew Davis,Ronald Roose,David Griffiths,5.5,79131.0,Collateral Damage,1383,5.759,"Action, Thriller, Drama",108.0,17.0,"David Foster Productions, Hacienda Productions, Bel Air Entertainment, Warner Bros. Pictures",R
80.0,91.0,80.0,6869390.570818277,0,0,0,1,1,11,1,1,0,0,1973-05-16,1973,5,16,0,0,52,"France,United Kingdom","French,Italian,English",Edward Fox,Terence Alexander,Michel Auclair,Fred Zinnemann,Frederick Forsyth,Kenneth Ross,7.8,49033.0,The Day of the Jackal,576,7.522,"Action, Thriller",143.0,66.377,"Universal Productions France S.A., Warwick Productions, Warwick Film Productions, Universal Pictures",PG
42.0,46.0,42.0,16567352.537998429,0,0,0,1,0,0,0,0,0,0,2013-05-16,2013,5,16,0,0,12,United States of America,English,Julianne Moore,Michael Angarano,Greg Kinnear,Craig Zisk,Dan Chariton,Stacy Chariton,5.7,13297.0,The English Teacher,356,5.6,"Comedy, Drama, Romance",92.0,11.045,"Mirabelle Pictures Productions, Artina Films, Procinvest Sas",R
84.0,95.0,84.0,6000000.0,0,0,0,0,15,28,0,0,0,0,2010-09-09,2010,9,9,0,0,15,"Others,United Kingdom",Others,Kôji Yakusho,Takayuki Yamada,Yûsuke Iseya,Takashi Miike,Kaneo Ikegami,Shoichirou Ikemiya,7.5,69510.0,13 Assassins,1136,7.3,"Adventure, Drama, Action",141.0,17.998,"TOHO, Sedic International, Toei Studios Kyoto, OLM, TV Asahi Music, IMAGICA, TV Asahi, dentsu, Shogakukan, The Asahi Shimbun, Asahi Broadcasting Corporation, Nagoya Broadcasting Network, Kyushu Asahi Broadcasting, Television Hokkaido Broadcasting, Yahoo! Japan, TSUTAYA Group, Hiroshima Home Television, Sedic Deux, Raku Film, Recorded Picture Company, HanWay Films, Japan Action Enterprise",R
72.0,82.0,72.0,40000000.0,0,0,0,0,2,10,0,0,0,0,1997-11-18,1997,11,18,0,1,28,United States of America,English,Matt Damon,Danny DeVito,Claire Danes,Francis Ford Coppola,John Grisham,Francis Ford Coppola,7.2,84504.0,The Rainmaker,1316,7.025,"Drama, Crime, Thriller",135.0,24.592,"Douglas/Reuther Productions, American Zoetrope, Constellation Films",PG-13
